S.No.,Name,CMP Rs.,Mar Cap Rs.Cr.,Graham's Number Rs.,Piotski Scr,Face value Rs.,CMP Upside Potential %,52w High Rs.,QoQ Profits %,Qtr Profit Var %,Profit Var 3Yrs %,P/E,Trd Qty,ROCE 3Yr %,Exp Qtr NP Rs.Cr.,CP above GN %,ROE %,ROE 3Yr %,Debt / Eq
127.,Balrampur Chini,164.60,3456.60,250.47,5.00,1.00,18.47,195.00,-43.71,-21.54,-6.48,6.51,1743739,16.24,140.41,0.66,22.24,22.70,0.12
128.,P & G Hygiene,10519.90,34148.37,1166.24,7.00,10.00,18.35,12450.00,266.80,85.52,-0.31,62.08,12809,71.09,189.08,9.02,42.09,48.43,0.00
129.,Just Dial,606.85,3753.65,420.64,6.00,10.00,18.26,717.65,-43.18,-38.47,38.22,13.97,582210,20.33,42.56,1.44,16.97,15.15,0.07
130.,Gujarat Gas,348.85,24014.49,132.51,9.00,2.00,18.22,412.40,704.94,-8.04,74.17,24.45,2940043,21.90,337.18,2.63,43.46,29.38,0.39
131.,Page Industries,22754.95,25371.77,1751.18,4.00,10.00,18.18,26891.00,380.33,-3.18,8.82,133.99,49931,61.88,57.22,12.99,43.04,45.44,0.16
132.,TCI Express,806.45,3099.55,195.96,6.00,2.00,17.86,950.45,2453.26,-10.00,33.44,44.95,14445,40.71,22.23,4.12,29.55,30.58,0.01
133.,Whirlpool India,2183.30,27699.53,335.41,5.00,10.00,17.71,2570.00,680.94,3.04,15.26,90.60,88807,31.11,60.16,6.51,20.27,20.71,0.00
134.,Sahyadri Industr,254.95,243.77,487.2,6.00,10.00,17.63,299.90,-48.62,249.28,108.53,5.58,12008,19.92,8.98,0.52,15.28,18.20,0.01
135.,Godrej Agrovet,509.90,9793.75,194.6,4.00,10.00,17.28,598.00,20.94,12.53,8.69,28.57,168487,20.26,89.14,2.62,17.65,18.23,0.23
136.,Coforge,2400.65,14542.07,755.77,4.00,10.00,17.22,2814.00,51.06,-2.32,17.25,30.33,483116,26.81,156.81,3.18,20.82,20.37,0.00
137.,Mahanagar Gas,1063.90,10508.97,601.07,7.00,10.00,17.19,1246.80,218.98,-46.66,26.35,19.38,2662852,36.87,159.91,1.77,29.66,26.38,0.02
138.,Lincoln Pharma.,242.40,484.80,331.64,6.00,10.00,16.93,283.45,37.02,10.57,22.02,8.65,136230,21.41,14.90,0.73,17.68,18.12,0.05
139.,Grindwell Norton,598.05,6621.61,198.21,5.00,5.00,16.88,699.00,126.29,23.54,14.22,36.47,70862,22.18,46.45,3.02,15.09,15.16,0.01
140.,Akzo Nobel,2153.00,9804.83,483.46,8.00,10.00,16.81,2515.00,427.15,34.58,3.28,54.28,13351,30.32,49.72,4.45,20.01,22.97,0.05
141.,Sun TV Network,439.95,17337.75,334.42,6.00,5.00,16.76,513.70,30.18,-9.16,7.94,14.19,2725884,36.38,318.98,1.32,22.61,25.03,0.00
142.,Ganesh Benzopl.,65.55,339.55,77.39,7.00,1.00,16.70,76.50,-33.05,20.22,40.20,6.46,62523,25.92,13.34,0.85,31.93,41.51,0.32
143.,Star Cement,89.80,3703.61,82.22,6.00,1.00,16.37,104.50,39.16,35.61,13.84,14.04,395994,19.32,67.64,1.09,16.05,19.75,0.00
144.,DCM Shriram,370.75,5781.56,469.15,4.00,2.00,16.28,431.10,72.23,0.39,9.47,9.91,268570,23.63,194.41,0.79,19.00,22.97,0.28
145.,Torrent Pharma.,2615.10,44252.72,720.96,9.00,5.00,16.25,3040.00,-3.43,27.05,4.43,37.00,512589,13.65,319.52,3.63,20.99,16.04,0.71
146.,Sheela Foam,1531.85,7472.79,412.02,6.00,5.00,16.20,1779.95,508.74,18.90,14.96,39.81,67632,28.93,64.70,3.72,23.03,22.50,0.28
147.,Alembic,106.15,2725.74,154.97,6.00,2.00,15.69,122.80,9.34,-11.10,30.01,7.39,2363590,5.07,-0.44,0.68,24.95,20.19,0.00
148.,Transport Corp.,251.70,1938.00,212.09,5.00,2.00,15.61,291.00,797.06,-19.62,22.88,17.23,17809,15.80,26.81,1.19,15.87,16.89,0.26
149.,Pfizer,5104.50,23351.93,1070.77,6.00,10.00,15.58,5900.00,5.56,-14.83,26.23,46.90,76183,21.66,116.88,4.77,15.92,15.10,0.00
150.,Share India Sec.,105.70,337.25,163.95,7.00,10.00,15.37,121.95,3.66,89.22,71.28,6.20,28792,25.52,15.53,0.64,22.78,22.93,0.60
151.,RACL Geartech,117.90,127.12,167.41,7.00,10.00,15.31,135.95,268.21,8.38,51.94,8.07,20059,17.25,4.13,0.7,23.78,19.31,0.84
152.,Refex Industries,88.45,185.76,147.06,5.00,10.00,15.21,101.90,202.65,46.08,332.21,5.46,553352,54.18,24.86,0.6,62.66,72.03,0.07
153.,United Drilling,264.50,537.02,184.91,7.00,10.00,15.09,304.40,25.17,-31.36,29.44,14.07,33265,23.98,13.55,1.43,30.58,22.04,0.00
